NRO,AMBITO,NSE1,NSEGRUP,MACRO_REGION,SEXO,GEDAD,EDAD,NIVEDUGRUP,P1A,P1B,P1C,P1D,P1E,P2A,P2B,P2C,P2D,P3A,P3B,P3C,P3D,P3E,P3F,P3G,P3H,P3I,P3J,P3K,P3L,P4$1_COD,P4$2_COD,P4$3_COD,P4$4_COD,P5$1,P5$2,P5$3,P5OTRO,P6,P7,P8,P9,P10,P11A,P11B,P11C,P11D,P12,P13A,P13B,P13C,P13D,P13E,P14,P15,P16,P17,P18,P19,P20A,P20B,P20C,P20D,P20E,P20F,P20G,P20H,P21A,P21B,P21C,P21D,P22,P23,P24,P25,P26A,P26B,P26C,P26D,P26E,P26F,P26G,P26H,P26I,P26J,P27$1,P27$2,P27OTRO1,P27OTRO2,P28,P29A,P29B,P29C,P29D,P29E,P30,P31,P32A,P32B,P32C,P32D,P32E,P32F,P32G,P32H,P32I,P33,P34,P35,P36,P36OTRO,P37,P37OTRO,P38,P39,P40_0$01,P40_0$02,P40_0$03,P40_0$04,P40_0$05,P40_0$06,P40_0$07,P40_0$08,P40_0$09,P40_0$10,P40_OTRO$09,P40_OTRO$10,P40_MC1$01,P40_MC1$02,P40_MC1$03,P40_MC1$04,P40_MC1$05,P40_MC1$06,P40_MC1$07,P40_MC1$08,P40_MC1$09,P40_MC1$10,P40_MC2$01,P40_MC2$02,P40_MC2$03,P40_MC2$04,P40_MC2$05,P40_MC2$06,P40_MC2$07,P40_MC2$08,P40_MC2$09,P40_MC2$10,P40MC_OTRO$01,P40MC_OTRO$02,P40MC_OTRO$03,P40MC_OTRO$04,P40MC_OTRO$05,P40MC_OTRO$06,P40MC_OTRO$07,P40MC_OTRO$08,P40MC_OTRO$09,P40MC_OTRO$10,P41A,P41B,P41C,P41D,P42,P43A,P43B,P43C,P43D,P44A$1,P44A$2,P44B$1,P44B$2,P44C$1,P44C$2,P44D$1,P44D$2,P44E,P45$1,P45$2,P45OTRO,P46$1,P46$2,P46OTRO,P47$1,P47$2,P47OTRO,P48$1,P48$2,P48OTRO,P49$1,P49$2,P49OTRO,P50$1,P50$2,P50OTRO,P51$1,P51$2,P52$1,P52$2,P53$1,P53$2,P53OTRO,P54$1,P54$2,P54OTRO,P55A,P55B,P55C,P55D,P55E,P55F,P55G,P56,P57_RECODIFICADA,P57_AGRUPADA,P57_IGLESIAS,P58,P59A,P59B,P59C,P59D,P59E,P60,P61,P62,P63A,P63B,P63C,P63D,P64A,P64B,P64C,P64D,P64E,P65A,P65B,P65C,P65D,P65E,P65F,P65G,P65H,P65I,P66A,P66B,P66C,P66D,P66E,P66F,P66G,P66H,P66I,P67$01,P67$02,P67$03,P67$04,P67$05,P67$06,P67$07,P67$08,P67$09,P67$10,P67$11,P67$12,P67$13,P67$14,P67$15,P67$16,P67OTRO,P68$01,P68$02,P68$03,P68$04,P68$05,P68$06,P68$07,P68$08,P68$09,P68$10,P68$11,P68$12,P68$13,P68$14,P68$15,P68$16,P68OTRO,P69$01,P69$02,P69$03,P69$04,P69$05,P69$06,P69$07,P69$08,P69$09,P69$10,P69$11,P69$12,P69$13,P69$14,P69$15,P69$16,P69OTRO,P70,P70OTRO,P71,P72,P73,P73OTRO,P74,P75,P75OTRO,P76,P77,P78,P79,P82,P83A,P83B,P83C,P83D,P83E,P83F,P83G,P83OTRO,P84,P85,P92,P80,P81,P101,P102
636,3,3,2,2,2,3,55,1,2,2,8,8,2,2,2,2,2,4,4,3,3,3,3,8,4,4,3,3,2,3,7,,,2,3,7,"",5,4,3,8,5,7,5,7,7,4,2,3,3,2,3,88,8,8,8,8,4,3,3,2,2,3,3,3,3,4,4,4,4,4,5,5,1,1,1,1,1,1,1,1,8,8,8,6,88,"","",4,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,5,3,3,1,"",1,"",8888,8,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,5,1,1,1,1,2,2,1,7,10,10,15,16,20,30,60,60,1,8,"",5,1,"",5,1,"",1,4,"",4,2,"",4,2,"",4,6,4,6,4,3,"",4,3,"",20,999,35,15,60,55,888,1,1,1,"",2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,,,,,,,,,,,,,,,,DE TODO MUSICA EVANGELICA,88,,,,,,,,,,,,,,,,"",88,,,,,,,,,,,,,,,,"",1,"",4,-1,88,"",1,88,"",2,1,1,1,2,,,,,,,,"",4,3,1,1,3,2,2
637,3,4,3,2,1,2,35,2,2,2,2,1,1,1,2,2,2,4,3,2,4,2,2,2,1,1,1,1,1,5,10,,,3,8,4,"",2,2,2,2,4,5,4,1,2,2,3,2,1,1,2,4,3,1,1,2,4,3,3,3,3,3,3,3,3,3,2,2,4,1,5,2,1,2,2,2,2,2,2,2,3,3,3,1,3,"","",2,1,1,1,1,1,3,3,1,2,2,2,1,1,1,2,2,5,2,3,3,"",1,"",8888,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",2,1,5,1,1,2,1,1,1,1,10,11,18,19,30,31,50,51,1,3,"",1,5,"",1,5,"",1,4,"",5,2,"",5,2,"",3,9,3,9,7,2,"",2,7,"",30,30,30,18,60,45,70,1,1,1,"",3,2,2,3,2,2,2,2,2,2,2,3,2,3,2,3,3,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,6,8,11,12,,,,,,,,,,,,,"",1,6,12,,,,,,,,,,,,,,"",8,12,,,,,,,,,,,,,,,"",2,"",3,-1,10,"",1,1,"",3,2,1,1,2,,,,,,,,"",5,1,2,1,9,2,2
638,3,4,3,2,1,1,21,4,2,8,1,8,2,2,2,2,1,2,3,3,4,1,1,1,3,1,4,4,1,7,10,,,7,3,8,"",3,2,2,2,5,5,5,6,6,1,2,2,2,2,3,4,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,1,1,3,4,4,1,1,1,8,8,1,1,1,8,8,8,3,1,"","",3,1,1,1,1,1,3,3,2,2,3,3,1,1,8,2,2,5,3,3,2,"",1,"",8888,8,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,5,5,1,3,3,3,4,4,3,11,15,21,21,35,36,44,50,1,3,"",5,2,"",5,2,"",1,2,"",2,5,"",2,5,"",2,6,2,6,4,3,"",4,3,"",35,40,25,26,55,55,65,1,1,1,"",3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,15,,,,,,,,,,,,,,,"",5,12,,,,,,,,,,,,,,,"",8,,,,,,,,,,,,,,,,"",1,"",4,-1,7,"",1,5,"",6,3,1,1,1,1,2,2,2,2,2,2,"",8,3,2,7,,2,2
639,3,3,2,2,1,1,23,2,2,2,1,2,2,1,1,1,2,3,3,2,3,2,3,2,2,2,1,2,1,3,7,,,3,2,7,"",1,3,2,3,4,3,1,6,3,3,3,2,2,2,3,5,3,2,2,-1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,4,4,1,2,2,2,3,2,2,2,3,3,2,2,3,"","",4,1,1,1,2,1,3,3,2,2,2,3,1,1,1,2,2,4,4,3,3,"",1,"",8888,8,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",6,7,5,1,5,4,3,3,3,2,10,11,20,21,30,31,60,65,1,4,"",1,5,"",5,4,"",4,1,"",5,2,"",5,2,"",5,7,2,6,2,6,"",2,6,"",25,30,30,20,60,50,80,1,1,1,"",3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,8,12,15,,,,,,,,,,,,,,"",5,8,12,15,,,,,,,,,,,,,"",8,12,,,,,,,,,,,,,,,"",-1,"",3,4,7,"",1,5,"",5,4,1,1,1,1,2,2,2,2,2,2,"",5,2,1,1,17,2,2
640,3,3,2,2,1,3,54,3,2,2,1,2,2,2,8,2,8,4,4,4,4,1,4,1,1,1,4,4,2,7,3,,,1,2,4,"",5,3,2,3,5,3,3,3,7,1,2,2,2,2,3,6,2,1,1,2,3,3,3,3,2,3,3,3,3,4,4,1,1,3,5,5,1,1,1,1,3,1,1,1,1,8,1,5,3,"","",2,1,1,1,1,1,3,3,2,2,2,8,2,2,2,2,2,5,4,4,3,"",1,"",8888,8,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",6,1,1,1,1,1,1,4,4,3,9,9,18,19,25,25,45,50,1,4,"",1,5,"",1,5,"",1,4,"",1,4,"",1,4,"",6,8,6,8,2,5,"",2,5,"",23,20,20,20,65,35,888,1,1,1,"",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,80,,,,,,,,,,,,,,,PASILLOS - CARNAVALES,7,8,12,,,,,,,,,,,,,,"",8,12,80,,,,,,,,,,,,,,PASILLOS - CARNAVALES,1,"",4,2,10,"",1,1,"",4,4,1,3,1,2,2,1,2,2,2,2,"",6,1,2,2,20,2,1
641,3,3,2,2,2,1,25,3,2,8,8,2,2,2,2,2,8,4,4,3,4,3,3,3,1,2,9,1,1,100,3,,,3,5,7,"",3,8,2,8,5,5,4,4,7,2,3,2,2,2,2,5,1,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,2,5,5,1,1,1,1,1,1,1,1,1,8,8,2,6,"","",3,1,1,1,1,1,3,2,2,3,3,2,1,1,1,1,1,5,4,4,3,"",1,"",8888,8,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,4,6,1,1,2,1,1,8,3,10,11,15,17,20,20,38,60,1,4,"",1,2,"",5,4,"",1,2,"",2,4,"",2,4,"",-1,-1,-1,-1,8,2,"",8,2,"",23,25,20,20,60,38,30,1,1,1,"",3,3,3,3,3,2,2,2,3,3,2,2,2,3,2,3,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,8,12,,,,,,,,,,,,,,,"",15,,,,,,,,,,,,,,,,"",8,80,,,,,,,,,,,,,,,DE TODO,1,"",4,2,7,"",1,1,"",4,3,1,1,1,1,2,2,2,2,2,2,"",7,2,2,2,20,2,2
642,3,4,3,2,2,2,37,2,8,8,8,2,2,8,2,2,8,4,4,4,4,2,2,1,3,8,4,4,3,10,100,,,3,1,2,"",3,4,3,8,5,6,3,5,7,2,2,2,2,2,3,88,1,1,1,1,4,3,3,3,3,3,3,3,3,4,2,2,2,3,3,3,1,1,1,2,8,8,8,8,8,8,8,3,5,"","",4,1,1,1,1,1,3,3,2,2,3,3,1,2,2,2,1,5,4,3,1,"",1,"",8888,8,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,7,7,1,5,3,3,2,3,2,10,11,18,18,25,25,35,70,1,2,"",1,2,"",5,2,"",1,2,"",2,5,"",2,5,"",7,3,7,3,8,2,"",8,2,"",888,888,888,888,888,888,888,1,2,2,NO ESPECIFICA,1,3,2,3,2,3,1,2,2,3,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,,,,,,,,,,,,,,,,MUSICA CRISTIANA,8,,,,,,,,,,,,,,,,"",8,,,,,,,,,,,,,,,,"",1,"",4,1,80,TODOS,1,1,"",8,5,1,2,2,,,,,,,,"",5,3,2,4,,2,2
643,3,5,3,2,2,3,59,1,2,8,2,2,2,2,2,2,2,3,2,3,3,2,3,1,2,3,2,3,8,8,2,,,1,3,2,"",3,4,3,3,4,7,2,1,7,2,3,1,2,2,3,9,2,2,1,2,4,2,3,3,2,3,2,2,2,3,3,2,3,2,4,4,1,2,1,1,3,2,2,1,3,3,8,3,6,"","",4,1,1,1,1,1,3,3,2,3,2,3,1,2,2,2,1,4,3,3,1,"",1,"",8888,8,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",2,4,6,1,1,1,2,1,2,5,10,11,18,19,30,40,60,70,1,4,"",1,3,"",4,3,"",4,3,"",5,4,"",5,2,"",3,4,2,5,5,2,"",7,6,"",25,25,28,21,65,45,85,1,2,2,NO ESPECIFICA,2,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,99,,,,,,,,,,,,,,,,"",99,,,,,,,,,,,,,,,,"",99,,,,,,,,,,,,,,,,"",7,"",4,9,7,"",1,1,"",3,2,1,1,2,,,,,,,,"",2,3,3,6,,2,2
644,2,5,3,3,1,3,49,1,2,2,2,2,2,2,1,2,1,4,4,4,3,1,2,2,4,4,1,4,1,22,100,5,,2,1,4,"",5,5,4,4,4,4,2,5,7,2,2,3,3,3,2,0,3,2,1,1,3,2,3,3,3,2,3,3,3,3,-1,1,3,4,5,5,4,3,1,1,3,2,2,2,2,3,3,3,6,"","",3,1,1,1,1,1,2,2,3,4,4,4,4,4,4,4,2,3,4,3,3,"",1,"",2011,1,2,2,2,2,1,2,2,2,2,1,"",VECINOS,,,,,2,,,,,2,,,,,7,,,,,7,"","","","","","","","","","",6,1,5,1,6,6,6,4,3,11,18,-1,50,12,21,22,40,50,1,5,"",1,5,"",1,5,"",1,5,"",4,2,"",4,2,"",2,4,3,4,2,5,"",2,5,"",25,30,45,16,65,24,999,1,1,1,"",2,2,2,3,3,2,1,2,2,2,3,3,2,3,2,3,2,2,4,4,4,4,4,4,4,3,4,1,1,1,1,1,2,2,2,1,8,,,,,,,,,,,,,,,,"",5,,,,,,,,,,,,,,,,"",8,,,,,,,,,,,,,,,,"",1,"",3,2,3,"",1,1,"",7,2,1,1,1,2,2,1,2,2,2,2,"",4,1,2,1,9,3,1
645,2,4,3,3,2,1,21,3,2,2,8,2,1,2,2,2,8,3,4,4,3,2,2,1,1,2,2,3,3,3,7,,,3,2,7,"",2,2,2,1,2,5,4,2,6,2,3,2,1,2,1,0,1,1,1,1,3,3,2,2,3,3,3,2,3,3,3,2,2,2,4,4,2,2,1,1,2,2,2,2,2,1,2,2,6,"","",3,1,1,1,1,1,3,3,2,2,2,3,1,1,1,1,1,4,3,3,2,"",1,"",9999,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,3,1,1,2,2,2,2,3,5,14,14,18,18,25,25,55,55,1,3,"",1,2,"",1,2,"",1,2,"",2,5,"",2,1,"",2,8,2,8,2,8,"",2,8,"",26,27,24,23,45,40,70,1,2,2,CRISTIANA LA VID,1,2,2,3,2,3,2,2,1,3,3,2,1,2,3,2,3,3,4,4,4,4,4,3,3,4,4,1,1,1,2,1,1,1,1,1,80,,,,,,,,,,,,,,,,MUSICA CRISTINA,1,,,,,,,,,,,,,,,,"",8,,,,,,,,,,,,,,,,"",1,"",2,6,5,"",1,1,"",10,5,1,1,1,1,2,2,2,2,2,2,"",7,3,1,7,,3,1
646,2,4,3,3,2,2,43,1,2,2,2,2,1,2,1,2,2,4,4,3,4,2,3,3,4,4,3,3,1,11,7,,,7,2,8,"",3,3,3,3,5,7,5,5,7,4,8,2,2,8,2,5,3,2,1,2,3,3,3,3,2,3,3,3,2,3,3,2,3,4,5,5,1,3,3,3,3,3,2,3,2,8,3,1,4,"","",3,1,1,1,2,1,3,8,3,3,3,4,2,2,8,1,1,5,3,3,1,"",1,"",2005,1,2,2,2,1,2,2,2,2,2,2,"","",,,,2,,,,,,,,,,7,,,,,,,"","","","","","","","","","",2,2,1,1,6,2,2,1,1,5,7,9,15,13,20,30,48,55,1,2,"",1,5,"",1,5,"",1,2,"",5,2,"",5,2,"",1,3,1,3,2,5,"",2,5,"",22,30,25,16,55,50,78,1,1,1,"",3,2,3,3,2,3,2,2,2,2,2,2,2,3,3,2,2,2,4,4,4,4,4,4,4,4,4,1,2,3,3,2,4,4,2,1,8,12,,,,,,,,,,,,,,,"",8,,,,,,,,,,,,,,,,"",8,,,,,,,,,,,,,,,,"",1,"",4,2,7,"",2,1,"",7,3,1,1,2,,,,,,,,"",4,3,2,6,,2,2
647,2,4,3,3,1,2,33,3,2,1,2,2,2,2,2,2,2,3,4,4,4,4,4,2,3,4,4,4,4,5,10,,,7,2,8,"",4,3,4,3,2,5,2,2,5,1,2,1,1,1,3,5,3,2,2,1,3,3,2,1,1,2,3,1,1,4,3,3,3,4,5,5,2,3,3,3,3,2,2,2,3,8,3,3,2,"","",4,1,1,1,1,1,3,3,2,2,1,1,1,1,8,1,1,4,3,3,3,"",1,"",1988,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",4,1,1,1,5,2,2,2,2,2,7,12,18,16,25,66,70,70,1,5,"",1,3,"",1,5,"",1,2,"",2,1,"",2,1,"",1,6,1,6,3,8,"",3,8,"",24,24,24,12,55,50,68,1,6,3,"",1,3,2,1,2,2,1,1,3,1,3,2,1,2,2,2,4,3,4,4,1,3,4,1,4,3,4,1,2,1,2,1,3,1,1,1,8,,,,,,,,,,,,,,,,"",5,14,,,,,,,,,,,,,,,"",8,,,,,,,,,,,,,,,,"",6,"",3,6,7,"",2,1,"",8,4,1,1,1,2,1,2,2,2,2,2,"",7,1,3,3,20,3,1
648,2,5,3,3,2,3,53,1,2,2,2,2,2,2,2,2,2,4,4,2,4,1,1,1,1,1,4,4,4,21,112,,,6,7,3,"",3,3,3,3,5,6,2,4,7,4,8,8,2,3,2,5,2,2,2,1,4,2,1,2,2,3,3,3,2,4,4,2,4,4,5,5,1,3,3,3,3,3,3,3,3,3,3,4,3,"","",4,1,1,1,1,1,3,2,2,2,2,8,1,2,1,1,1,4,3,3,3,"",1,"",1996,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,7,1,1,2,4,4,2,2,3,10,13,17,18,25,40,60,60,1,5,"",5,1,"",5,1,"",1,2,"",5,1,"",5,1,"",1,3,1,3,2,3,"",2,3,"",20,25,25,18,60,50,100,1,2,2,IGLESIA EVAGELICA PERUANA,1,8,2,3,2,2,2,2,1,8,8,2,2,2,8,3,3,2,4,4,4,4,4,4,4,4,4,2,8,2,8,8,2,2,2,3,80,,,,,,,,,,,,,,,,MUSICA EVANGELICA,12,80,,,,,,,,,,,,,,,MUSICA EVANGELICA,12,80,,,,,,,,,,,,,,,MUSICA EVANGELICA,1,"",2,2,88,"",2,1,"",7,3,1,1,1,2,2,1,2,2,2,2,"",3,3,2,6,,2,2
649,2,3,2,3,1,2,30,4,1,2,2,2,2,2,1,2,1,4,3,3,3,4,4,4,4,3,4,3,1,7,100,,,7,3,2,"",2,2,2,2,1,1,1,1,1,1,2,1,3,3,3,5,3,2,2,2,2,1,3,3,3,3,3,3,3,4,3,3,1,4,5,5,3,3,1,1,1,2,2,2,2,2,2,6,2,"","",4,1,1,1,1,1,3,3,2,1,3,3,3,8,8,8,1,5,4,4,3,"",3,"",2007,1,2,2,2,2,1,2,2,2,2,1,"",AMIGOS,,,,,1,,,,,2,,,,,3,,,,,4,"","","","","","","","","","",7,1,1,1,3,1,1,1,3,9,12,12,18,18,33,35,50,50,1,2,"",2,1,"",5,2,"",2,1,"",2,5,"",2,5,"",2,6,2,6,8,2,"",8,2,"",28,28,25,20,50,40,50,1,1,1,"",2,1,1,1,1,1,2,2,2,3,1,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,2,4,3,4,4,3,4,2,8,12,,,,,,,,,,,,,,"",5,15,,,,,,,,,,,,,,,"",8,12,,,,,,,,,,,,,,,"",1,"",4,5,10,"",1,1,"",1,2,1,1,2,,,,,,,,"",10,1,3,1,21,3,1
650,2,2,1,3,1,3,55,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,4,4,77,7,,,7,2,3,"",3,3,3,3,1,1,1,1,1,1,1,1,1,1,4,5,2,2,2,2,4,1,3,3,3,1,3,3,3,4,4,3,3,4,5,5,5,2,1,1,1,2,2,2,2,2,1,2,7,"","",4,1,1,1,1,1,3,3,4,4,4,4,4,4,9,9,1,5,1,3,3,"",3,"",2016,1,2,2,1,2,1,2,2,2,2,2,"","",,,1,,2,,,,,,,,7,,7,,,,,,"","","","","","","","","","",7,4,4,1,3,7,1,1,1,0,3,14,20,20,35,35,50,50,1,2,"",1,2,"",2,3,"",1,2,"",2,4,"",2,4,"",4,2,4,2,4,8,"",2,8,"",25,30,25,25,70,40,70,1,7,4,"",4,3,3,3,3,3,2,2,1,3,4,3,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,8,13,,,,,,,,,,,,,,"",8,10,,,,,,,,,,,,,,,"",8,,,,,,,,,,,,,,,,"",1,"",1,3,7,"",2,1,"",5,6,1,2,1,2,2,1,2,2,2,2,"",9,1,2,1,21,3,1
651,2,4,3,3,2,1,23,2,2,8,8,8,8,2,8,8,8,4,4,4,4,4,4,4,4,4,4,4,3,3,2,61,,1,2,88,"",8,8,8,3,5,6,6,7,7,3,3,3,2,2,3,5,2,2,1,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,5,5,1,3,3,3,3,3,3,3,3,3,2,88,88,"","",8,1,1,1,1,1,8,8,2,2,2,2,2,2,2,2,2,4,3,3,1,"",1,"",2014,1,2,2,2,2,1,2,2,2,2,2,"","",,,,,1,,,,,,,,,,7,,,,,,"","","","","","","","","","",7,1,1,1,4,6,3,3,3,6,9,10,18,18,30,30,45,45,-1,-1,"",-1,-1,"",1,5,"",1,2,"",2,5,"",2,5,"",4,6,5,6,4,8,"",3,8,"",27,30,25,18,50,40,888,1,5,3,"",2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,8,80,,,,,,,,,,,,,,,M CRISTIANA,6,12,,,,,,,,,,,,,,,"",8,12,,,,,,,,,,,,,,,"",1,"",1,6,10,"",2,1,"",1,1,1,1,2,,,,,,,,"",5,1,2,1,2,2,3
652,2,3,2,3,2,3,80,4,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,100,7,,3,7,5,"",3,3,3,3,3,3,3,3,7,3,3,2,2,2,2,5,3,2,1,1,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,2,1,1,1,1,2,2,2,2,3,3,3,2,"","",3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,"",1,"",1950,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,4,3,1,5,4,4,4,4,12,14,14,19,20,25,25,40,80,1,2,"",2,1,"",2,1,"",1,2,"",3,2,"",3,4,"",3,5,5,7,5,3,"",6,3,"",20,25,25,21,53,40,888,1,1,1,"",2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,6,,,,,,,,,,,,,,,"",12,15,,,,,,,,,,,,,,,"",3,7,,,,,,,,,,,,,,,"",2,"",3,2,7,"",2,1,"",5,3,1,1,1,1,2,2,2,2,2,2,"",10,3,1,5,,1,3
653,2,2,1,3,1,1,22,4,1,2,2,2,2,2,2,1,2,4,4,4,4,4,4,3,3,3,3,4,3,7,11,,,7,2,3,"",3,3,3,2,5,5,5,5,2,2,3,2,4,4,1,5,2,1,2,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,1,2,2,2,2,2,2,2,3,3,2,3,2,"","",3,1,1,1,1,1,3,3,2,3,3,3,2,2,8,4,2,3,3,3,2,"",1,"",8888,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,1,1,1,5,5,2,2,2,4,6,11,15,16,24,25,40,40,1,2,"",1,2,"",2,1,"",2,1,"",2,5,"",2,5,"",1,2,1,2,2,8,"",2,8,"",27,30,24,23,55,60,75,1,7,4,"",4,1,3,1,4,4,2,2,2,3,2,1,1,4,3,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,2,6,12,15,,,,,,,,,,,,,"",11,12,,,,,,,,,,,,,,,"",6,15,,,,,,,,,,,,,,,"",1,"",1,6,5,"",1,1,"",5,3,1,1,1,1,2,2,2,2,2,2,"",9,3,1,1,13,3,2
654,2,2,1,3,1,3,52,4,2,2,2,2,2,2,2,2,2,3,4,4,4,3,3,3,3,3,4,4,3,22,11,,,2,4,3,"",2,3,3,3,4,4,1,1,1,2,3,2,2,2,3,5,1,1,2,1,2,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,1,3,1,1,3,3,3,3,3,3,1,6,4,"","",2,1,1,1,1,1,3,2,2,3,3,3,2,3,3,2,2,3,3,3,3,"",1,"",1985,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,1,1,1,5,7,5,5,6,0,7,13,18,18,30,30,60,60,1,2,"",2,3,"",2,9,"",2,9,"",5,99,"",5,2,"",7,9,9,2,2,6,"",2,4,"",25,30,30,25,60,50,65,1,1,1,"",1,3,3,3,2,3,1,2,2,2,2,2,2,2,3,2,3,3,4,4,3,4,4,4,4,4,4,2,2,2,4,4,2,4,4,4,7,8,11,12,,,,,,,,,,,,,"",8,12,,,,,,,,,,,,,,,"",8,12,,,,,,,,,,,,,,,"",1,"",2,2,7,"",2,1,"",4,4,1,2,1,2,2,1,2,2,2,2,"",9,2,2,2,22,3,1
655,2,4,3,3,2,2,36,3,2,2,1,2,2,1,2,1,1,4,4,4,4,2,2,2,2,2,4,2,2,3,7,57,,2,1,7,"",5,5,4,3,2,5,5,1,5,1,9,2,2,2,4,5,2,2,2,1,3,1,1,1,1,1,1,1,1,3,3,3,3,3,5,4,1,3,1,1,1,3,3,3,3,1,1,6,5,"","",3,1,2,1,1,1,3,2,2,4,4,4,2,2,8,4,1,5,4,4,1,"",1,"",8888,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,7,7,1,1,4,1,1,1,6,10,11,16,16,26,60,75,60,1,7,"",5,1,"",5,7,"",1,4,"",2,5,"",2,5,"",1,5,6,8,5,8,"",3,8,"",30,25,25,15,70,60,70,1,1,1,"",2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,12,13,,,,,,,,,,,,,,,"",3,4,15,,,,,,,,,,,,,,"",6,7,12,,,,,,,,,,,,,,"",1,"",1,2,5,"",2,1,"",6,4,1,1,1,1,2,2,2,2,2,2,"",6,2,2,1,12,3,2
656,2,4,3,3,2,3,52,1,2,2,1,8,8,1,2,2,2,4,4,3,4,2,2,1,4,3,3,3,1,100,7,,,3,6,88,"",5,5,4,3,5,1,1,1,7,2,3,2,2,2,4,0,1,1,2,1,3,2,3,2,2,1,3,3,3,3,2,4,3,3,5,2,1,3,1,3,3,3,3,3,3,1,3,6,5,"","",4,1,1,1,1,1,3,1,2,3,3,3,1,2,4,2,1,5,3,3,1,"",1,"",2016,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,4,7,1,3,4,4,1,1,7,15,15,22,22,35,35,50,50,1,7,"",1,7,"",5,7,"",1,1,"",2,5,"",2,4,"",2,4,2,4,8,99,"",8,99,"",23,35,22,15,50,50,888,1,1,1,"",2,2,2,2,2,2,2,2,2,2,3,3,2,2,8,3,8,2,4,4,4,4,4,3,4,4,4,2,4,4,4,4,2,4,4,4,8,9,,,,,,,,,,,,,,,"",1,2,,,,,,,,,,,,,,,"",5,8,12,,,,,,,,,,,,,,"",1,"",2,2,7,"",2,7,"",6,2,1,3,2,,,,,,,,"",4,2,1,1,12,3,2
